"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"CONN_03X2FEMALE_SMD";"2X3_SMD";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_05X2SMD_12.7";"2X5_SMD_1.27MM";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"2";"0.1uF";"C-EUC0603";"C0603";"C4, C5";"CAPACITOR, European symbol";"";
"2";"0R";"R-EU_R0603";"R0603";"R5, R15";"RESISTOR, European symbol";"";
"1";"100nF";"C-EUC0603";"C0603";"C8";"CAPACITOR, European symbol";"";
"13";"10K";"R-EU_R0603";"R0603";"R6, R7, R9, R12, R16, R17, R18, R19, R20, R21, R22, R23, R24";"RESISTOR, European symbol";"";
"1";"10nF";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";
"2";"10uF";"C-EUC0805K";"C0805K";"C2, C9";"CAPACITOR, European symbol";"";
"1";"110k";"R-EU_R0603";"R0603";"R14";"RESISTOR, European symbol";"";
"1";"12MHz";"CRYSTAL";"CAA-12.000-18-3050-X";"XTAL1";"";"";
"1";"18K";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";
"1";"1K5";"R-EU_R0603";"R0603";"R4";"RESISTOR, European symbol";"";
"1";"1M";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";
"1";"1M65";"R-EU_R0603";"R0603";"R13";"RESISTOR, European symbol";"";
"3";"1uF";"C-EUC0603";"C0603";"C3, C12, C13";"CAPACITOR, European symbol";"";
"2";"33R";"R-EU_R0603";"R0603";"R2, R3";"RESISTOR, European symbol";"";
"2";"39pF";"C-EUC0603";"C0603";"C6, C7";"CAPACITOR, European symbol";"";
"1";"4.7uF";"C-EUC0603";"C0603";"C11";"CAPACITOR, European symbol";"";
"1";"455-1750-1-ND";"CONN_02SMD";"1X02_SMD";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"47uH";"TYS4018470M-10";"TYS4018470M-10";"L1";"";"";
"1";"50MHz";"LFSPXO019987";"CFPS-73";"Y1";"";"";
"1";"68K";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";
"1";"68pF";"C-EUC0603";"C0603";"C10";"CAPACITOR, European symbol";"";
"5";"89R";"R-EU_R0603";"R0603";"R8, R25, R26, R27, R28";"RESISTOR, European symbol";"";
"1";"DMP2170U";"DMP2170U";"SOT23";"Q1";"";"";
"67";"EVPASBC1A";"EVPASBC1A";"EVPASBC1A";"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67";"";"";
"1";"FH12S-40S-0.5SH";"FH12S-40S-0.5SH";"FH12S-40S-0.5SH";"X2";"";"";
"5";"KPT-2012EC";"KPT-2012EC";"KPT-2012EC";"D1, D3, D4, D5, D6";"";"";
"1";"LCMXO2-1200HC-4TG100C";"LCMXO2-1200HC-4TG100C";"TQFP100";"IC1";"edit this description";"";
"1";"LM311D";"LM311D";"SO08";"IC2";"COMPARATOR";"";
"1";"LPC1343FBD48";"LPC1343FBD48";"LQFP-48";"U1";"";"";
"1";"MIC5504-3.3YM5-TR";"MIC5504-3.3YM5-TR";"SOT23-5";"U3";"";"";
"1";"MINI-USB-SCHIELD-32005-201";"MINI-USB-SCHIELD-32005-201";"32005-201";"X1";"MINI USB-B Conector";"";
"1";"NCP1406";"NCP1406";"TSOP-5";"U2";"";"";
"1";"STPS0520Z";"STPS0520Z";"SOD123";"D2";"";"";
"4";"TEST-POINT3X4";"TEST-POINT3X4";"PAD.03X.04";"TP1, TP2, TP3, TP4";"SparkFun Test Points";"";
